lat_index,lon_index,latitude,longitude,missing_count,valid_count,missing_fraction,longest_consecutive_missing,number_of_missing_runs,first_missing_date,last_missing_date
77,51,24.25,57.75,419,1000,0.2952783650458069,36,30,2021-01-01T00:00:00.000000000,2024-11-19T00:00:00.000000000
43,209,15.75,97.25,416,1003,0.29316420014094435,336,6,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
42,209,15.5,97.25,408,1011,0.28752642706131076,336,6,2021-08-04T00:00:00.000000000,2024-11-19T00:00:00.000000000
26,212,11.5,98.0,408,1011,0.28752642706131076,156,11,2021-02-25T00:00:00.000000000,2024-11-19T00:00:00.000000000
27,212,11.75,98.0,408,1011,0.28752642706131076,156,11,2021-02-25T00:00:00.000000000,2024-11-19T00:00:00.000000000
43,204,15.75,96.0,400,1019,0.28188865398167723,336,6,2022-07-22T00:00:00.000000000,2024-11-19T00:00:00.000000000
65,185,21.25,91.25,392,1027,0.2762508809020437,340,4,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
65,186,21.25,91.5,392,1027,0.2762508809020437,340,4,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
41,209,15.25,97.25,392,1027,0.2762508809020437,336,5,2021-08-08T00:00:00.000000000,2024-11-19T00:00:00.000000000
44,206,16.0,96.5,384,1035,0.27061310782241016,348,4,2022-09-24T00:00:00.000000000,2024-11-19T00:00:00.000000000
44,207,16.0,96.75,384,1035,0.27061310782241016,348,4,2022-09-24T00:00:00.000000000,2024-11-19T00:00:00.000000000
47,196,16.75,94.0,380,1039,0.2677942212825934,380,1,2023-11-06T00:00:00.000000000,2024-11-19T00:00:00.000000000
64,186,21.0,91.5,376,1043,0.2649753347427766,340,2,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
64,187,21.0,91.75,376,1043,0.2649753347427766,340,2,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
66,181,21.5,90.25,376,1043,0.2649753347427766,152,10,2021-08-24T00:00:00.000000000,2024-11-19T00:00:00.000000000
48,196,17.0,94.0,372,1047,0.26215644820295986,372,1,2023-11-14T00:00:00.000000000,2024-11-19T00:00:00.000000000
49,196,17.25,94.0,372,1047,0.26215644820295986,372,1,2023-11-14T00:00:00.000000000,2024-11-19T00:00:00.000000000
43,205,15.75,96.25,372,1047,0.26215644820295986,336,4,2022-09-24T00:00:00.000000000,2024-11-19T00:00:00.000000000
43,206,15.75,96.5,372,1047,0.26215644820295986,336,4,2022-09-24T00:00:00.000000000,2024-11-19T00:00:00.000000000
45,195,16.25,93.75,372,1047,0.26215644820295986,216,2,2023-11-06T00:00:00.000000000,2024-11-19T00:00:00.000000000
46,195,16.5,93.75,372,1047,0.26215644820295986,216,2,2023-11-06T00:00:00.000000000,2024-11-19T00:00:00.000000000
64,185,21.0,91.25,368,1051,0.25933756166314303,340,2,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
65,184,21.25,91.0,368,1051,0.25933756166314303,228,6,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
43,207,15.75,96.75,364,1055,0.25651867512332627,336,4,2022-09-24T00:00:00.000000000,2024-11-19T00:00:00.000000000
43,208,15.75,97.0,364,1055,0.25651867512332627,336,4,2022-09-24T00:00:00.000000000,2024-11-19T00:00:00.000000000
65,183,21.25,90.75,364,1055,0.25651867512332627,152,7,2021-07-31T00:00:00.000000000,2024-11-19T00:00:00.000000000
55,193,18.75,93.25,360,1059,0.2536997885835095,360,1,2023-11-26T00:00:00.000000000,2024-11-19T00:00:00.000000000
58,192,19.5,93.0,360,1059,0.2536997885835095,360,1,2023-11-26T00:00:00.000000000,2024-11-19T00:00:00.000000000
49,195,17.25,93.75,356,1063,0.25088090204369273,356,1,2023-11-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
50,195,17.5,93.75,356,1063,0.25088090204369273,356,1,2023-11-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
50,196,17.5,94.0,356,1063,0.25088090204369273,356,1,2023-11-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
51,195,17.75,93.75,356,1063,0.25088090204369273,356,1,2023-11-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
51,196,17.75,94.0,356,1063,0.25088090204369273,356,1,2023-11-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
52,195,18.0,93.75,356,1063,0.25088090204369273,356,1,2023-11-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
52,196,18.0,94.0,356,1063,0.25088090204369273,356,1,2023-11-30T00:00:00.000000000,2024-11-19T00:00:00.000000000
