lat_index,lon_index,latitude,longitude,missing_count,valid_count,missing_fraction,longest_consecutive_missing,number_of_missing_runs,first_missing_date,last_missing_date
34,191,13.5,92.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
35,212,13.75,98.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
36,15,14.0,48.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
36,16,14.0,49.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
36,118,14.0,74.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
36,212,14.0,98.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
37,17,14.25,49.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
38,18,14.5,49.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
38,117,14.5,74.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
39,21,14.75,50.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
39,211,14.75,97.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
40,23,15.0,50.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
40,24,15.0,51.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
40,116,15.0,74.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
40,211,15.0,97.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
41,28,15.25,52.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
42,29,15.5,52.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
42,30,15.5,52.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
42,142,15.5,80.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
43,145,15.75,81.25,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
44,146,16.0,81.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
44,204,16.0,96.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
44,210,16.0,97.5,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
45,147,16.25,81.75,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
46,32,16.5,53.0,582,837,0.41014799154334036,582,1,2021-01-01T00:00:00.000000000,2022-08-05T00:00:00.000000000
